"H3_c12","H3K18ac_c12","H3K27ac_c12","H3K27me3_c12","H3K36me3_c12","H3K4me1_c12","H3K4me3_c12","H3K9ac_c12","H4K5ac_c12","H4K8ac_c12","input_c12","input_c14a","input_c14c","input_c8","wt_H3","wt_H3K18ac","wt_H3K4me1","wt_ZLD","bcd1","cad1","D1","da2","dl3","ftz3","gt2","h1","hb1","hkb1","kni1","kr1","mad2","med2","prdBQ","prdFQ","run1","shn2","slp1","sna1","tll1","twi1","z2"
6,5,12,21,16,18,18,7,10,5,20,15,15,8,10.95,30.858,111.18,42.78,0,0,1.42103,0,1.46536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19,4,26,31,6,21,5,10,4,13,19,21,11,10.55,55.5,48.144,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,1,10,25,12,43,13,10,6,19,27,18,7,19,51.06,78.132,3.1,0,0,0,0,1.10347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2013
13,19,29,18,39,22,42,7,13,6,21,18,20,9,40.15,50.949,140.76,170.376,0,0,1.34335,1.22641,1.55161,0,0,0,0,0,0,1.40716,0,1.2486,0,0,0,0,0,0,0,0,0
6,13,8,18,12,9,16,7,7,7,17,13,17,9,32.1,48.84,140.76,249.24,0,1.96369,1.58797,1.22641,1.98438,0,0,0,0,0,0,1.48812,0,1.6266,0,0,0,0,0,0,0,0,1.21019
10,12,29,12,12,20,30,15,14,7,15,24,17,15,40.35,57.72,138.72,164.92,0,1.96369,1.58797,0,1.98438,0,0,0,0,0,0,1.48812,0,1.6266,0,0,0,0,0,0,0,0,1.21019
6,11,28,1,6,20,30,15,9,7,14,21,14,10,40.35,57.72,138.72,273.42,0,1.74793,1.58974,0,1.68454,0,0,0,0,0,0,0,0,1.39544,0,1.0766,0,0,0,0,0,1.2201,1.15441
8,7,31,1,49,3,0,7,15,6,15,31,15,6,10.9,16.65,33.66,84.32,0,1.84276,1.6685,0,1.83739,0,0,0,0,0,0,0,0,1.2556,0,1.18739,0,0,0,0,0,1.2201,0
16,34,34,16,16,14,21,6,18,10,20,18,23,10,25.15,94.35,67.32,91.14,0,0,0.976966,0,1.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,13,21,56,38,6,7,10,16,11,20,28,23,14,29.85,66.156,35.7,63.86,0,0,0,0,0,0,0,0,0,0,0,1.39779,0,0,0,0,0,0,0,0,0,0,0
8,17,47,13,16,14,56,10,14,15,17,24,21,13,26.65,96.348,139.74,1409.07,0,3.10418,3.72469,3.90056,3.35063,0,3.09184,1.79701,1.4869,2.03067,0,2.97775,0,4.13046,1.45935,1.70312,1.38572,0,1.64312,0,2.33527,3.41737,1.26715
12,14,12,13,25,26,33,7,12,11,15,18,19,7,17.9,76.035,94.86,263.872,0,2.32342,2.6416,1.53601,2.0752,0,2.38773,0,2.4893,0,0,1.4058,0,1.69117,0,0,1.35559,0,0,0,0,3.06392,0
21,12,21,11,20,18,0,3,17,13,27,21,26,8,24.35,55.5,73.44,115.692,0,1.57233,2.0709,1.79691,1.85281,0,1.53399,0,1.9572,0,0,1.1851,0,1.34653,0,0,1.45164,0,0,0,0,2.80691,0
7,9,14,23,53,11,9,2,13,12,15,21,14,7,33.55,36.63,35.7,236.53,0,1.68858,2.72769,1.32281,2.05525,0,0,0,0,0,0,1.3304,0,1.58022,1.3229,1.39102,0,0,0,0,0,1.12594,1.27922
17,44,24,23,21,14,18,13,20,13,25,23,18,11,35.1,38.85,64.362,90.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12669,0
14,12,34,29,39,31,40,14,20,7,20,25,26,11,29.6,64.38,61.2,40.734,0,0,1.25656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54877,0,0,1.12475,0
9,30,23,23,11,19,52,17,20,9,20,31,23,16,40.85,64.38,70.38,51.46,0,0,1.41993,0,1.18797,0,0,0,0,0,0,1.2367,0,0,0,0,0,0,1.62239,0,0,0,0
14,22,26,23,28,20,61,10,23,9,29,31,23,11,40.85,46.62,112.2,51.46,0,1.97244,2.06364,0,1.50851,0,0,0,0,0,0,1.26967,0,0,0,0,0,0,0,0,0,0,0
14,22,43,46,28,18,37,10,19,10,22,24,23,11,34.65,42.18,112.2,140.12,0,1.96528,2.05755,0,1.45762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,17,30,21,18,63,13,17,7,19,30,24,9,29,45.51,59.16,39.06,0,0,1.38031,1.63004,1.19416,0,2.19124,0,0,0,0,1.29377,0,1.20343,0,0,0,0,0,0,0,1.43026,1.26582
16,15,10,32,33,12,35,20,16,8,20,29,15,10,31.15,45.732,48.96,34.72,0,0,1.28231,0,1.09378,0,0,0,0,0,0,1.32811,0,1.31144,0,0,0,0,0,0,0,0,0
12,11,37,32,23,12,40,11,26,7,23,21,17,10,21.55,47.73,47.94,95.976,0,0,1.30575,0,1.10451,0,0,0,0,0,0,0,0,1.31144,0,0,0,0,0,0,0,0,0
12,19,37,32,18,15,40,10,26,7,24,23,21,13,24.9,62.271,35.7,95.976,0,0,1.30575,0,1.1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19,17,38,17,24,37,17,21,9,27,25,21,9,36.5,90.576,136.068,45.88,0,1.59464,1.33197,1.42277,2.18522,1.65256,0,1.50238,1.33215,0,0,0,1.38853,1.26843,0,0,1.45685,0,1.6176,0,0,1.16766,0
